size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
63744,0,0,179077,0,0,17468,249,0
64000,0,0,178749,0,0,17791,250,0
64256,0,0,181019,0,0,17998,251,0
64512,0,0,189870,0,0,19809,252,0
64768,0,0,189302,0,0,18350,253,0
65024,0,0,180858,0,0,18101,254,0
65280,0,0,181850,0,0,18362,255,0
65536,0,0,212916,0,0,19956,256,0
65792,0,0,188076,0,0,18510,257,0
66048,0,0,188879,0,0,18178,258,0
66304,0,0,188745,0,0,18289,259,0
66560,0,0,196244,0,0,20415,260,0
66816,0,0,192458,0,0,18762,261,0
67072,0,0,191122,0,0,19577,262,0
67328,0,0,192397,0,0,18929,263,0
67584,0,0,222494,0,0,20706,264,0
67840,0,0,193029,0,0,18746,265,0
68096,0,0,190916,0,0,19063,266,0
68352,0,0,195399,0,0,19237,267,0
68608,0,0,201861,0,0,21181,268,0
68864,0,0,196731,0,0,19449,269,0
69120,0,0,195187,0,0,19094,270,0
69376,0,0,215146,0,0,19148,271,0
69632,0,0,210628,0,0,21932,272,0
69888,0,0,200656,0,0,19571,273,0
70144,0,0,199918,0,0,19707,274,0
70400,0,0,200065,0,0,19559,275,0
70656,0,0,208642,0,0,21772,276,0
70912,0,0,202851,0,0,19847,277,0
71168,0,0,229826,0,0,19795,278,0
71424,0,0,204487,0,0,19842,279,0
71680,0,0,212045,0,0,21884,280,0
71936,0,0,207087,0,0,20860,281,0
72192,0,0,206996,0,0,20114,282,0
72448,0,0,207783,0,0,20310,283,0
72704,0,0,216242,0,0,22355,284,0
72960,0,0,235996,0,0,20322,285,0
73216,0,0,211530,0,0,20182,286,0
73472,0,0,211022,0,0,20469,287,0
73728,0,0,221669,0,0,23796,288,0
73984,0,0,217381,0,0,20408,289,0
74240,0,0,213960,0,0,20976,290,0
74496,0,0,215890,0,0,20856,291,0
74752,0,0,239618,0,0,22895,292,0
75008,0,0,217375,0,0,21092,293,0
